Total time run, Total writes made, Write size, Object size, Bandwidth (MB/sec), Stddev Bandwidth, Max bandwidth (MB/sec), Min bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Stddev Latency(s), Max latency(s), Min latency(s) 
30.0329, 1164, 131072, 131072, 4.84469, 0.307386, 5.375, 4.25, 38, 2.45909, 43, 34, 0.0257857, 0.0101916, 0.119782, 0.014691
30.0096, 1146, 131072, 131072, 4.77348, 0.407478, 5.625, 3.875, 38, 3.25982, 45, 31, 0.0261701, 0.0113456, 0.197114, 0.0141349
30.0067, 1141, 131072, 131072, 4.75311, 0.331532, 5.25, 4.125, 38, 2.65226, 42, 33, 0.0262831, 0.0103511, 0.109582, 0.0152764
30.0301, 1159, 131072, 131072, 4.82433, 0.413407, 5.375, 3.5, 38, 3.30725, 43, 28, 0.0258945, 0.0127563, 0.306493, 0.0155324
30.005, 1158, 131072, 131072, 4.82419, 0.297904, 5.375, 4.25, 38, 2.38323, 43, 34, 0.0258953, 0.0101145, 0.152673, 0.0151999
30.0117, 1153, 131072, 131072, 4.8023, 0.393372, 5.5, 3.625, 38, 3.14697, 44, 29, 0.0260127, 0.0108177, 0.130973, 0.0143282
30.0165, 1187, 131072, 131072, 4.94312, 0.312687, 5.375, 4.125, 39, 2.50149, 43, 33, 0.025272, 0.0086078, 0.100132, 0.0147016
30.0038, 1021, 262144, 262144, 8.50726, 0.794745, 9.75, 7.25, 34, 3.17898, 39, 29, 0.0293707, 0.0145534, 0.143, 0.0173606
30.0137, 994, 262144, 262144, 8.27954, 0.893825, 9.75, 6.5, 33, 3.5753, 39, 26, 0.0301779, 0.0163116, 0.148482, 0.0169669
30.0279, 1044, 262144, 262144, 8.6919, 0.784229, 10, 7, 34, 3.13691, 40, 28, 0.0287462, 0.0133658, 0.128036, 0.0170124
30.0914, 1079, 262144, 262144, 8.96437, 0.951254, 10.25, 6.75, 35, 3.80502, 41, 27, 0.0278709, 0.0128332, 0.19896, 0.0175426
30.0144, 1026, 262144, 262144, 8.54589, 1.14486, 10, 5.75, 34, 4.57944, 40, 23, 0.0292377, 0.0157031, 0.215547, 0.0168388
30.0132, 975, 262144, 262144, 8.12143, 1.08225, 10, 5, 32, 4.329, 40, 20, 0.0307667, 0.0170912, 0.142317, 0.0169412
30.0118, 998, 262144, 262144, 8.31341, 0.932376, 9.75, 6.25, 33, 3.7295, 39, 25, 0.0300556, 0.0154032, 0.134598, 0.0174706
30.0068, 1049, 262144, 262144, 8.73967, 0.845713, 10.25, 6.75, 34, 3.38285, 41, 27, 0.0285888, 0.0141452, 0.133218, 0.0177887
