Total time run, Total writes made, Write size, Object size, Bandwidth (MB/sec), Stddev Bandwidth, Max bandwidth (MB/sec), Min bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Stddev Latency(s), Max latency(s), Min latency(s) 
30.2514, 745, 3145728, 3145728, 73.8808, 6.89903, 87, 60, 24, 2.29968, 29, 20, 0.323089, 0.100799, 0.819108, 0.133737
30.201, 734, 3145728, 3145728, 72.9115, 7.78659, 84, 45, 24, 2.59553, 28, 15, 0.327811, 0.096241, 0.672924, 0.14048
30.2477, 733, 3145728, 3145728, 72.6999, 5.68574, 81, 57, 24, 1.89525, 27, 19, 0.328229, 0.0998035, 0.871683, 0.145634
30.2789, 728, 3145728, 3145728, 72.1294, 5.78941, 84, 63, 24, 1.9298, 28, 21, 0.330946, 0.0992604, 0.773791, 0.145413
30.2757, 722, 3145728, 3145728, 71.5425, 6.2731, 81, 57, 23, 2.09103, 27, 19, 0.333651, 0.0986024, 0.769079, 0.140642
30.396, 719, 3145728, 3145728, 70.9632, 6.96469, 84, 54, 23, 2.32156, 28, 18, 0.3354, 0.113246, 1.3872, 0.133134
30.3441, 728, 3145728, 3145728, 71.9745, 6.0515, 84, 57, 23, 2.01717, 28, 19, 0.331096, 0.108536, 0.938891, 0.142261
30.3046, 727, 3145728, 3145728, 71.9693, 7.81841, 87, 51, 23, 2.60614, 29, 17, 0.331689, 0.0973363, 0.708184, 0.129121
30.4092, 568, 4194304, 4194304, 74.7142, 6.58804, 88, 60, 18, 1.64701, 22, 15, 0.425759, 0.123294, 0.914761, 0.176419
30.4705, 557, 4194304, 4194304, 73.1198, 8.01034, 88, 52, 18, 2.00258, 22, 13, 0.434484, 0.132437, 0.960028, 0.167588
30.2663, 548, 4194304, 4194304, 72.4238, 9.57007, 92, 44, 18, 2.39252, 23, 11, 0.439638, 0.131895, 0.943627, 0.181621
30.3439, 557, 4194304, 4194304, 73.4251, 8.10959, 88, 52, 18, 2.0274, 22, 13, 0.433044, 0.132788, 0.905057, 0.186089
30.2958, 558, 4194304, 4194304, 73.6736, 7.45253, 84, 52, 18, 1.86313, 21, 13, 0.432446, 0.136047, 1.04134, 0.168476
30.475, 561, 4194304, 4194304, 73.6342, 7.90867, 88, 52, 18, 1.97717, 22, 13, 0.430868, 0.123969, 0.914165, 0.179666
