Total time run, Total writes made, Write size, Object size, Bandwidth (MB/sec), Stddev Bandwidth, Max bandwidth (MB/sec), Min bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Stddev Latency(s), Max latency(s), Min latency(s) 
30.1874, 585, 3145728, 3145728, 58.1369, 4.62639, 66, 48, 19, 1.54213, 22, 16, 0.206083, 0.0697059, 1.20753, 0.106235
30.2447, 455, 4194304, 4194304, 60.1759, 6.25732, 68, 44, 15, 1.56433, 17, 11, 0.264981, 0.0813812, 0.736667, 0.136036
30.3017, 455, 4194304, 4194304, 60.0626, 6.07841, 72, 48, 15, 1.5196, 18, 12, 0.264758, 0.067683, 0.508152, 0.130272
30.1728, 457, 4194304, 4194304, 60.5843, 4.73869, 68, 52, 15, 1.18467, 17, 13, 0.263194, 0.0738001, 0.583902, 0.129741
30.3848, 462, 4194304, 4194304, 60.8199, 4.19304, 68, 52, 15, 1.04826, 17, 13, 0.261149, 0.0802449, 0.577305, 0.13354
30.2937, 460, 4194304, 4194304, 60.7388, 5.97927, 76, 48, 15, 1.49482, 19, 12, 0.262724, 0.0961464, 1.2561, 0.13371
30.2283, 454, 4194304, 4194304, 60.0762, 5.75356, 68, 44, 15, 1.43839, 17, 11, 0.265798, 0.0713641, 0.531455, 0.128032
30.1266, 459, 4194304, 4194304, 60.9429, 5.56673, 72, 48, 15, 1.39168, 18, 12, 0.261953, 0.0787897, 0.646628, 0.133384
30.2577, 461, 4194304, 4194304, 60.9431, 5.4262, 68, 40, 15, 1.35655, 17, 10, 0.261419, 0.0746986, 0.564349, 0.136019
30.248, 470, 4194304, 4194304, 62.1528, 5.72311, 72, 48, 15, 1.43078, 18, 12, 0.25651, 0.0679676, 0.55668, 0.123997
30.0893, 2033, 1048576, 1048576, 67.5655, 3.6365, 73, 59, 67, 3.6365, 73, 59, 0.118271, 0.0565773, 0.450334, 0.0384292
30.1047, 1998, 1048576, 1048576, 66.3684, 5.79139, 74, 46, 66, 5.79139, 74, 46, 0.120282, 0.0628627, 0.659333, 0.0418889
30.1705, 2023, 1048576, 1048576, 67.0524, 4.20249, 74, 58, 67, 4.20249, 74, 58, 0.118932, 0.0584352, 0.455517, 0.0435689
30.166, 2061, 1048576, 1048576, 68.322, 2.90877, 74, 64, 68, 2.90877, 74, 64, 0.116769, 0.0518807, 0.512705, 0.0438023
30.2708, 2020, 1048576, 1048576, 66.7311, 5.69543, 74, 49, 66, 5.69543, 74, 49, 0.119137, 0.0569741, 0.463405, 0.0426245
30.1302, 1951, 1048576, 1048576, 64.7523, 4.24007, 74, 54, 64, 4.24007, 74, 54, 0.123367, 0.0625312, 0.458382, 0.0425175
30.0651, 2004, 1048576, 1048576, 66.6554, 3.7392, 74, 55, 66, 3.7392, 74, 55, 0.119872, 0.0560075, 0.558243, 0.0411751
30.1118, 2006, 1048576, 1048576, 66.6184, 4.49981, 74, 58, 66, 4.49981, 74, 58, 0.119871, 0.057665, 0.487897, 0.0439921
30.0833, 2015, 1048576, 1048576, 66.9808, 3.3871, 74, 59, 66, 3.3871, 74, 59, 0.119283, 0.0580059, 0.433979, 0.0414111
30.2581, 1078, 2097152, 2097152, 71.2536, 5.33908, 80, 56, 35, 2.66954, 40, 28, 0.223478, 0.0849827, 0.759591, 0.0832744
30.2217, 1090, 2097152, 2097152, 72.1336, 4.98088, 80, 62, 36, 2.49044, 40, 31, 0.221125, 0.0775883, 0.60315, 0.0854333
30.2098, 1086, 2097152, 2097152, 71.8972, 4.66634, 82, 66, 35, 2.33317, 41, 33, 0.222011, 0.0743557, 0.580585, 0.0828173
30.2535, 1078, 2097152, 2097152, 71.2646, 4.04572, 78, 60, 35, 2.02286, 39, 30, 0.223327, 0.0789588, 0.599883, 0.0876821
30.2529, 1083, 2097152, 2097152, 71.5965, 4.67077, 80, 60, 35, 2.33538, 40, 30, 0.222512, 0.0883459, 1.18941, 0.0902158
30.3133, 1095, 2097152, 2097152, 72.2455, 5.64913, 80, 62, 36, 2.82456, 40, 31, 0.220363, 0.0818516, 0.673345, 0.0832928
30.1868, 1085, 2097152, 2097152, 71.8857, 3.68969, 78, 62, 35, 1.84484, 39, 31, 0.222126, 0.0747132, 0.649247, 0.0778155
30.2674, 1072, 2097152, 2097152, 70.8352, 5.29758, 78, 58, 35, 2.64879, 39, 29, 0.224766, 0.0866232, 0.664003, 0.0809777
30.1518, 1081, 2097152, 2097152, 71.7039, 4.7759, 80, 60, 35, 2.38795, 40, 30, 0.222619, 0.0743805, 0.681565, 0.08785
30.286, 740, 3145728, 3145728, 73.3012, 6.0822, 84, 54, 24, 2.0274, 28, 18, 0.325694, 0.101187, 0.739463, 0.12208
30.4087, 733, 3145728, 3145728, 72.3149, 5.40594, 84, 63, 24, 1.80198, 28, 21, 0.329943, 0.111164, 1.2262, 0.125064
30.3076, 745, 3145728, 3145728, 73.744, 6.80846, 90, 57, 24, 2.26949, 30, 19, 0.323826, 0.096451, 0.720985, 0.118154
30.2847, 737, 3145728, 3145728, 73.0072, 5.5233, 81, 60, 24, 1.8411, 27, 20, 0.327305, 0.106053, 0.787291, 0.13581
30.3027, 738, 3145728, 3145728, 73.0628, 7.57036, 84, 54, 24, 2.52345, 28, 18, 0.327489, 0.106908, 0.816609, 0.12131
30.2079, 735, 3145728, 3145728, 72.9943, 6.38506, 87, 57, 24, 2.12835, 29, 19, 0.327356, 0.101627, 0.97575, 0.130268
30.2609, 737, 3145728, 3145728, 73.0645, 7.64447, 87, 57, 24, 2.54816, 29, 19, 0.327686, 0.0994377, 0.697317, 0.142766
30.2159, 718, 3145728, 3145728, 71.287, 6.65401, 81, 57, 23, 2.218, 27, 19, 0.335602, 0.107784, 0.873545, 0.11135
30.2229, 745, 3145728, 3145728, 73.9506, 6.85389, 87, 51, 24, 2.28463, 29, 17, 0.323624, 0.0959418, 0.754658, 0.131048
30.326, 563, 4194304, 4194304, 74.2597, 7.25876, 88, 48, 18, 1.81469, 22, 12, 0.429308, 0.131612, 0.993079, 0.163677
30.4313, 550, 4194304, 4194304, 72.2941, 6.88293, 88, 56, 18, 1.72073, 22, 14, 0.438546, 0.141413, 0.974689, 0.149786
30.3562, 557, 4194304, 4194304, 73.3953, 8.92266, 84, 52, 18, 2.23066, 21, 13, 0.433768, 0.143605, 1.30792, 0.187793
30.4029, 546, 4194304, 4194304, 71.8352, 7.57006, 84, 48, 17, 1.89251, 21, 12, 0.442555, 0.140251, 1.00057, 0.172929
30.2553, 554, 4194304, 4194304, 73.2434, 8.75096, 88, 52, 18, 2.18774, 22, 13, 0.435012, 0.132409, 0.824357, 0.160129
30.4257, 561, 4194304, 4194304, 73.7534, 6.36224, 84, 56, 18, 1.59056, 21, 14, 0.432093, 0.137726, 1.14211, 0.173405
30.3398, 551, 4194304, 4194304, 72.6439, 7.07399, 84, 56, 18, 1.7685, 21, 14, 0.437474, 0.139881, 1.14641, 0.163599
30.5856, 550, 4194304, 4194304, 71.9292, 8.1998, 84, 48, 17, 2.04995, 21, 12, 0.440451, 0.141885, 0.975858, 0.153246
30.2472, 569, 4194304, 4194304, 75.2468, 8.51341, 96, 56, 18, 2.12835, 24, 14, 0.424302, 0.125, 0.861301, 0.181408
30.2213, 2271, 1048576, 1048576, 75.1457, 3.57273, 80, 68, 75, 3.57273, 80, 68, 0.212097, 0.10133, 0.802613, 0.0490715
30.2204, 2310, 1048576, 1048576, 76.4383, 3.8393, 84, 65, 76, 3.8393, 84, 65, 0.208564, 0.0993542, 0.969662, 0.0575861
30.3306, 2276, 1048576, 1048576, 75.0396, 4.85893, 82, 61, 75, 4.85893, 82, 61, 0.211653, 0.0981344, 0.750474, 0.0555829
30.2227, 2276, 1048576, 1048576, 75.3077, 3.82671, 83, 66, 75, 3.82671, 83, 66, 0.21136, 0.101797, 0.762425, 0.0554646
30.2672, 2323, 1048576, 1048576, 76.7497, 4.49789, 84, 65, 76, 4.49789, 84, 65, 0.207573, 0.0974854, 0.791277, 0.0517461
30.1138, 2267, 1048576, 1048576, 75.281, 4.30303, 82, 64, 75, 4.30303, 82, 64, 0.212231, 0.0944664, 0.701264, 0.0575303
30.6303, 2260, 1048576, 1048576, 73.7831, 4.51358, 84, 63, 73, 4.51358, 84, 63, 0.21325, 0.102573, 1.2017, 0.0468224
30.2064, 2286, 1048576, 1048576, 75.6793, 3.30812, 81, 66, 75, 3.30812, 81, 66, 0.210783, 0.105194, 0.836441, 0.0538547
30.1643, 2317, 1048576, 1048576, 76.8128, 3.77058, 82, 62, 76, 3.77058, 82, 62, 0.207671, 0.0993819, 0.779171, 0.0511642
30.3303, 1168, 2097152, 2097152, 77.0186, 6.57267, 90, 58, 38, 3.28634, 45, 29, 0.412853, 0.191866, 1.34854, 0.109636
30.3692, 1163, 2097152, 2097152, 76.5907, 6.9219, 88, 56, 38, 3.46095, 44, 28, 0.415258, 0.224601, 2.03026, 0.103337
30.3567, 1160, 2097152, 2097152, 76.4246, 7.16473, 92, 56, 38, 3.58236, 46, 28, 0.415643, 0.181316, 1.26126, 0.114099
30.3203, 1161, 2097152, 2097152, 76.5823, 7.35472, 90, 50, 38, 3.67736, 45, 25, 0.41562, 0.186197, 1.34804, 0.118254
30.3362, 1159, 2097152, 2097152, 76.4103, 6.08786, 92, 60, 38, 3.04393, 46, 30, 0.41681, 0.174287, 1.39408, 0.102384
30.2943, 1144, 2097152, 2097152, 75.5257, 5.69573, 84, 56, 37, 2.84787, 42, 28, 0.422036, 0.209184, 1.66799, 0.119357
30.3992, 1163, 2097152, 2097152, 76.5152, 5.95809, 86, 60, 38, 2.97905, 43, 30, 0.415692, 0.202763, 1.6739, 0.106236
30.322, 1161, 2097152, 2097152, 76.5781, 7.00903, 88, 58, 38, 3.50451, 44, 29, 0.415754, 0.159828, 1.50815, 0.138215
30.7167, 1165, 2097152, 2097152, 75.8546, 5.94573, 86, 56, 37, 2.97287, 43, 28, 0.414678, 0.194122, 1.58431, 0.110076
30.7148, 771, 3145728, 3145728, 75.3058, 10.2943, 99, 42, 25, 3.43143, 33, 14, 0.630278, 0.326907, 2.53315, 0.169829
30.5193, 782, 3145728, 3145728, 76.8693, 11.4096, 99, 45, 25, 3.8032, 33, 15, 0.620297, 0.297263, 1.99255, 0.178786
30.4451, 780, 3145728, 3145728, 76.8598, 9.37936, 96, 48, 25, 3.12645, 32, 16, 0.620654, 0.270766, 1.76202, 0.169754
